"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","PrgP"
"Serie A","2023-08-19","Serie A (Matchweek 1)","Empoli","4-2-3-1",0,0.7,"","2","0","Hellas Verona","3-4-3",1,0.5,"Federico Bonazzoli · 75&rsquor;","2","0","https://fbref.com/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A","Empoli","Home",NA,990,234,367,63.8,4446,1722,93,120,77.5,110,142,77.5,27,80,33.8,0,0.4,0.2,5,8,3,0,15
"Serie A","2023-08-19","Serie A (Matchweek 1)","Empoli","4-2-3-1",0,0.7,"","2","0","Hellas Verona","3-4-3",1,0.5,"Federico Bonazzoli · 75&rsquor;","2","0","https://fbref.com/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A","Hellas Verona","Away",NA,990,272,396,68.7,5858,2469,100,133,75.2,107,137,78.1,62,105,59,0,0.4,0.7,8,15,4,2,21
"Serie A","2023-08-19","Serie A (Matchweek 1)","Frosinone","4-3-3",1,0.9,"Abdou Harroui (P) · 7&rsquor;","3","0","Napoli","4-3-3",3,1.5,"Matteo Politano · 24&rsquor; Victor Osimhen · 42&rsquor; Victor Osimhen · 79&rsquor;","3","0","https://fbref.com/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A","Frosinone","Home",NA,990,413,476,86.8,6059,2393,242,252,96,126,141,89.4,28,52,53.8,0,0.1,0.2,2,17,5,1,30
"Serie A","2023-08-19","Serie A (Matchweek 1)","Frosinone","4-3-3",1,0.9,"Abdou Harroui (P) · 7&rsquor;","3","0","Napoli","4-3-3",3,1.5,"Matteo Politano · 24&rsquor; Victor Osimhen · 42&rsquor; Victor Osimhen · 79&rsquor;","3","0","https://fbref.com/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A","Napoli","Away",NA,990,436,506,86.2,7511,2556,205,213,96.2,180,201,89.6,40,64,62.5,2,1.2,0.9,16,34,9,0,46
"Serie A","2023-08-19","Serie A (Matchweek 1)","Genoa","3-5-2",1,0.2,"Davide Biraschi · 58&rsquor;","2","0","Fiorentina","4-2-3-1",4,1,"Cristiano Biraghi · 5&rsquor; Giacomo Bonaventura · 11&rsquor; Nicolás González · 40&rsquor; Rolando Mandragora · 56&rsquor;","3","0","https://fbref.com/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A","Genoa","Home",NA,990,242,332,72.9,4770,1967,85,105,81,113,137,82.5,38,65,58.5,1,0.2,0.6,4,17,6,2,27
"Serie A","2023-08-19","Serie A (Matchweek 1)","Genoa","3-5-2",1,0.2,"Davide Biraschi · 58&rsquor;","2","0","Fiorentina","4-2-3-1",4,1,"Cristiano Biraghi · 5&rsquor; Giacomo Bonaventura · 11&rsquor; Nicolás González · 40&rsquor; Rolando Mandragora · 56&rsquor;","3","0","https://fbref.com/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A","Fiorentina","Away",NA,990,599,694,86.3,11368,3496,246,261,94.3,253,281,90,90,118,76.3,3,0.4,0.8,6,37,5,0,44
"Serie A","2023-08-19","Serie A (Matchweek 1)","Internazionale","3-5-2",2,2.7,"Lautaro Martínez · 8&rsquor; Lautaro Martínez · 76&rsquor;","1","0","Monza","3-5-2",0,0.8,"","1","0","https://fbref.com/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A","Internazionale","Home",NA,990,448,509,88,7722,2716,226,245,92.2,144,159,90.6,58,78,74.4,2,2.4,1.9,19,41,9,3,46
"Serie A","2023-08-19","Serie A (Matchweek 1)","Internazionale","3-5-2",2,2.7,"Lautaro Martínez · 8&rsquor; Lautaro Martínez · 76&rsquor;","1","0","Monza","3-5-2",0,0.8,"","1","0","https://fbref.com/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A","Monza","Away",NA,990,508,567,89.6,9415,2922,200,214,93.5,240,260,92.3,59,72,81.9,0,0.5,0.7,9,32,14,3,43
"Serie A","2023-08-20","Serie A (Matchweek 1)","Roma","3-1-4-2",2,1.9,"Andrea Belotti · 17&rsquor; Andrea Belotti · 82&rsquor;","0","0","Salernitana","3-4-3",2,0.1,"Antonio Candreva · 36&rsquor; Antonio Candreva · 49&rsquor;","4","0","https://fbref.com/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A","Roma","Home",NA,990,423,535,79.1,7745,2429,178,198,89.9,197,237,83.1,45,81,55.6,2,1.3,0.9,11,34,10,4,32
"Serie A","2023-08-20","Serie A (Matchweek 1)","Roma","3-1-4-2",2,1.9,"Andrea Belotti · 17&rsquor; Andrea Belotti · 82&rsquor;","0","0","Salernitana","3-4-3",2,0.1,"Antonio Candreva · 36&rsquor; Antonio Candreva · 49&rsquor;","4","0","https://fbref.com/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A","Salernitana","Away",NA,990,259,357,72.5,4199,1556,123,144,85.4,105,130,80.8,17,56,30.4,2,0.1,0.1,3,16,2,0,18
